rank	gene	description	N	n	npat	nsite	nsil	nnei	nncd	nmis	nstp	nspl	nind	pCV	pCL	pFN	p	q
14	TGIF1	TGFB-induced factor homeobox 1	1292	17	16	17	1	16	1	3	2	0	12	7.49E-11	1	0.127	3.98E-10	0.00000052
15	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	98	87	36	1	2	0	92	2	3	1	0.00000444	0.00001	0.00004	1.1E-09	0.00000133
16	SMAD2	SMAD family member 2	1444	23	20	18	2	2	0	12	11	0	0	2.54E-09	0.0197	0.312	1.17E-09	0.00000133
17	HEATR2	HEAT repeat containing 2	2620	15	15	10	3	51	0	14	0	1	0	0.0000151	0.00001	0.0228	3.57E-09	0.00000384
18	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	941	19	19	8	2	5	0	19	0	0	0	0.0000173	0.00001	0.0181	4.07E-09	0.00000414
19	RBM10	RNA binding motif protein 10	2881	13	13	8	1	5	0	9	2	1	1	0.000000409	0.0003	0.992	5.67E-09	0.00000546
20	ACVR2A	activin A receptor, type IIA	1582	19	18	19	1	12	0	10	5	0	4	1.75E-08	0.401	0.292	0.000000113	0.000104
21	ASXL1	additional sex combs like 1 (Drosophila)	4678	17	17	15	4	4	0	12	4	0	1	0.00000687	0.01	0.0266	0.000000225	0.000196
22	RANBP9	RAN binding protein 9	2244	11	11	5	0	4	0	9	1	1	0	0.00189	0.00001	1	0.000000355	0.000295
23	MUC17	mucin 17, cell surface associated	13532	90	75	85	32	13	0	89	1	0	0	0.00289	0.00001	1	0.00000053	0.000421
24	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	27	26	27	6	2	1	12	8	3	4	6.14E-08	1	0.381	0.00000108	0.000824
25	DIAPH1	diaphanous homolog 1 (Drosophila)	3927	10	10	8	2	3	1	9	1	0	0	0.000000523	0.075	0.424	0.0000014	0.00102
26	NKTR	natural killer-tumor recognition sequence	4453	9	9	7	0	3	0	5	0	4	0	0.000056	0.0294	0.0066	0.00000154	0.00109
27	KLF5	Kruppel-like factor 5 (intestinal)	1386	7	7	6	1	4	0	7	0	0	0	0.0123	0.00002	0.00332	0.00000208	0.00141
28	DUSP16	dual specificity phosphatase 16	2018	10	10	6	3	4	0	2	7	0	1	0.00000675	0.024	0.983	0.00000456	0.00298
29	PRKCQ	protein kinase C, theta	2189	20	17	18	1	1	0	16	2	2	0	0.000000487	0.77	0.405	0.00000572	0.00361
30	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1148	14	14	14	1	95	0	6	0	1	7	0.00000409	1	0.027	0.00000595	0.00363
31	OCRL	oculocerebrorenal syndrome of Lowe	2798	8	8	6	0	2	0	6	0	2	0	0.00219	0.00227	0.0212	0.00000776	0.00458
32	C6orf136	chromosome 6 open reading frame 136	1511	12	12	8	0	11	0	8	0	4	0	0.00000134	0.624	0.084	0.00000806	0.00461
33	NCAPD3	non-SMC condensin II complex, subunit D3	4830	12	11	9	5	15	1	10	1	1	0	0.0696	0.00001	0.939	0.0000106	0.00586
34	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	2155	12	12	9	4	24	0	11	0	1	0	0.00145	0.0046	0.0965	0.0000219	0.0115
35	RBM12	RNA binding motif protein 12	2803	15	15	11	3	81	0	13	2	0	0	0.00000891	0.103	0.395	0.0000219	0.0115
36	AXIN2	axin 2 (conductin, axil)	2568	18	18	18	0	2	0	10	2	0	6	0.0000245	0.315	0.102	0.0000287	0.0142
37	SIN3A	SIN3 homolog A, transcription regulator (yeast)	3902	19	16	19	2	4	0	13	4	1	1	0.00000489	0.412	0.587	0.0000329	0.0159
38	DRD3	dopamine receptor D3	1229	9	9	7	0	3	0	7	1	0	1	0.0000229	0.104	0.417	0.0000338	0.0159
39	LIMK1	LIM domain kinase 1	2004	17	17	12	1	3	0	16	0	1	0	0.000985	0.0069	0.112	0.0000368	0.0168
40	SOAT1	sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1	1713	8	8	7	0	15	0	5	1	1	1	0.000267	0.0094	0.575	0.00004	0.0179
41	CHD4	chromodomain helicase DNA binding protein 4	5895	33	33	31	3	8	0	30	2	0	1	0.0000301	0.097	0.826	0.0000567	0.0241
42	DAO	D-amino-acid oxidase	1084	7	7	7	0	9	0	4	0	3	0	0.00000435	1	0.7	0.0000581	0.0242
43	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	1533	10	10	8	1	16	0	10	0	0	0	0.00000532	0.465	0.952	0.0000609	0.0248
44	MAP2K1	mitogen-activated protein kinase kinase 1	1224	9	9	7	0	4	0	9	0	0	0	0.0317	0.00013	0.732	0.0000631	0.0251
45	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein	1956	10	10	7	1	16	0	10	0	0	0	0.0045	0.0007	0.996	0.0000654	0.0254
46	USP5	ubiquitin specific peptidase 5 (isopeptidase T)	3392	8	8	6	0	2	0	4	0	4	0	0.000046	0.209	0.332	0.0000723	0.0267
47	GDF5	growth differentiation factor 5	1510	17	16	12	2	2	0	14	3	0	0	0.0000414	0.099	0.568	0.0000771	0.0277
48	NEK2	NIMA (never in mitosis gene a)-related kinase 2	1366	7	7	6	3	1	0	3	1	3	0	0.0000305	0.199	0.289	0.0000837	0.028
49	FAM171B	family with sequence similarity 171, member B	2509	16	16	16	2	37	0	15	1	0	0	0.00000647	1	0.898	0.0000838	0.028
50	MOV10	Mov10, Moloney leukemia virus 10, homolog (mouse)	3096	12	12	11	2	5	0	8	2	2	0	0.0002	0.572	0.005	0.0000842	0.028
51	SRRT	serrate RNA effector molecule homolog (Arabidopsis)	2960	9	9	7	4	3	0	6	0	3	0	0.0146	0.0727	0.00032	0.0000903	0.0295
52	ING1	inhibitor of growth family, member 1	1417	16	14	13	2	15	0	12	3	0	1	0.0000418	0.192	0.328	0.0000963	0.0309
53	TEX14	testis expressed 14	4875	9	9	8	3	2	1	4	2	3	0	0.0012	0.0048	0.976	0.000116	0.0363
54	SAMM50	sorting and assembly machinery component 50 homolog (S. cerevisiae)	1466	5	5	4	0	3	0	3	0	2	0	0.0000317	0.394	0.574	0.000119	0.0363
55	MST4		1293	3	3	3	0	2	0	0	1	2	0	0.0000698	1	0.028	0.000122	0.0363
56	DGKA	diacylglycerol kinase, alpha 80kDa	2300	7	7	5	1	3	0	5	1	1	0	0.0282	0.00275	0.0217	0.000132	0.0377
57	SSH1	slingshot homolog 1 (Drosophila)	3537	13	13	13	1	13	2	10	2	1	0	0.0000167	1	0.43	0.000138	0.0383
58	NAT10	N-acetyltransferase 10	3190	12	12	10	2	4	0	8	3	0	1	0.00397	0.0074	0.202	0.000138	0.0383
59	RB1	retinoblastoma 1 (including osteosarcoma)	3704	9	9	9	0	3	0	5	1	2	1	0.000023	1	0.151	0.000146	0.0393
60	ADD2	adducin 2 (beta)	2464	17	17	17	5	15	0	14	2	1	0	0.0000142	1	0.922	0.000173	0.0451
61	PAN3	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)	2736	14	14	12	1	13	0	11	2	1	0	0.000063	0.148	0.411	0.000187	0.0482
62	MARK2	MAP/microtubule affinity-regulating kinase 2	2439	14	14	14	3	9	2	8	3	1	2	0.0000403	0.644	0.156	0.000191	0.0486
63	AHI1	Abelson helper integration site 1	3750	6	6	4	0	0	0	1	1	4	0	0.000116	0.149	0.228	0.000199	0.0499
64	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif, 3	3704	18	18	14	2	9	0	15	0	2	1	0.0639	0.00348	0.00518	0.000204	0.0505
65	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	1155	6	6	4	4	0	1	5	1	0	0	0.327	0.00056	0.0563	0.000232	0.0559
66	TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	1649	7	7	5	1	5	0	4	1	2	0	0.037	0.0004	0.187	0.00024	0.057
67	MAP2K7	mitogen-activated protein kinase kinase 7	1303	9	9	7	1	108	1	8	0	1	0	0.0069	0.0352	0.0043	0.000244	0.0572
68	PACSIN1	protein kinase C and casein kinase substrate in neurons 1	1371	7	7	5	1	36	0	4	0	3	0	0.000098	1	0.15	0.000268	0.0617
69	MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	1605	19	19	16	3	4	1	16	2	0	1	0.000039	0.44	0.6	0.000274	0.0617
70	IL7R	interleukin 7 receptor	1410	7	7	7	1	2	0	5	1	1	0	0.0000237	1	0.48	0.000276	0.0617
71	HTR3C	5-hydroxytryptamine (serotonin) receptor 3, family member C	1378	8	7	8	0	18	0	6	0	2	0	0.0000682	1	0.212	0.00028	0.0617
72	UBR1	ubiquitin protein ligase E3 component n-recognin 1	5436	7	7	6	1	3	0	5	1	1	0	0.000697	0.097	0.395	0.000283	0.0617
73	SYNGR2	synaptogyrin 2	689	7	7	6	2	8	0	7	0	0	0	0.000175	0.106	0.909	0.000288	0.0619
74	ITIH1	inter-alpha (globulin) inhibitor H1	2822	8	8	7	0	3	0	7	0	1	0	0.000377	0.123	0.316	0.0003	0.0639
75	FLYWCH1	FLYWCH-type zinc finger 1	2184	3	3	3	1	0	0	1	0	1	1	0.00117	1	0.02	0.00031	0.0652
76	TCF7	transcription factor 7 (T-cell specific, HMG-box)	1356	6	6	6	0	5	0	4	0	2	0	0.000206	0.188	0.42	0.000324	0.0666
77	HSPA1L	heat shock 70kDa protein 1-like	2446	8	8	7	1	14	0	6	2	0	0	0.000203	0.126	0.849	0.000324	0.0666
78	TDRD1	tudor domain containing 1	3670	6	6	6	0	2	0	3	2	1	0	0.000162	1	0.085	0.000333	0.0677
79	PABPC1L	poly(A) binding protein, cytoplasmic 1-like	1903	12	12	11	3	14	0	12	0	0	0	0.000265	0.662	0.043	0.000337	0.0677
80	RUFY1	RUN and FYVE domain containing 1	2195	7	7	7	1	12	0	7	0	0	0	0.00032	0.094	0.999	0.000383	0.0737
81	BCL9L	B-cell CLL/lymphoma 9-like	4528	13	13	10	5	81	0	9	2	0	2	0.0523	0.000567	0.616	0.000393	0.0748
82	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	1021	6	6	4	1	33	1	6	0	0	0	0.0126	0.0223	0.0156	0.00041	0.0761
83	WDR86	WD repeat domain 86	1151	7	7	7	0	7	0	6	1	0	0	0.00019	0.384	0.256	0.000418	0.0762
84	ACOXL	acyl-Coenzyme A oxidase-like	1811	7	7	5	2	20	1	7	0	0	0	0.00854	0.0015	0.878	0.000421	0.0762
85	EI24	etoposide induced 2.4 mRNA	1062	6	6	5	0	7	0	2	3	0	1	0.00151	0.093	0.095	0.000469	0.0841
86	C7orf31	chromosome 7 open reading frame 31	1809	6	6	5	0	5	0	3	2	1	0	0.000445	0.309	0.154	0.000525	0.0916
87	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2406	21	21	18	1	2	0	19	2	0	0	0.000168	0.184	0.84	0.000532	0.0918
88	GORASP1	golgi reassembly stacking protein 1, 65kDa	1546	6	6	3	2	12	0	6	0	0	0	0.0082	0.0069	0.304	0.000562	0.096
89	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	1967	6	6	4	2	11	1	2	0	4	0	0.0127	0.0166	0.009	0.000579	0.0978
90	TMEM201	transmembrane protein 201	2060	6	6	4	2	13	0	6	0	0	0	0.0104	0.0036	0.736	0.000597	0.0992
